Nano Seconds,Value_of_n
2625ns,1096346 n
2791ns,1096347 n
2917ns,1096348 n
2583ns,1096349 n
2750ns,1096350 n
2583ns,1096351 n
2208ns,1096352 n
3750ns,1096353 n
2792ns,1096354 n
3125ns,1096355 n
5416ns,1096356 n
3125ns,1096357 n
3500ns,1096358 n
2791ns,1096359 n
2625ns,1096360 n
2459ns,1096361 n
4541ns,1096362 n
2583ns,1096363 n
2583ns,1096364 n
2750ns,1096365 n
3541ns,1096366 n
5292ns,1096367 n
2750ns,1096368 n
3750ns,1096369 n
3125ns,1096370 n
3167ns,1096371 n
2417ns,1096372 n
2375ns,1096373 n
3250ns,1096374 n
2792ns,1096375 n
2375ns,1096376 n
2833ns,1096377 n
2417ns,1096378 n
2542ns,1096379 n
2834ns,1096380 n
2709ns,1096381 n
4208ns,1096382 n
2750ns,1096383 n
2125ns,1096384 n
2542ns,1096385 n
4667ns,1096386 n
2583ns,1096387 n
3084ns,1096388 n
2833ns,1096389 n
2708ns,1096390 n
3583ns,1096391 n
2667ns,1096392 n
2416ns,1096393 n
2500ns,1096394 n
3375ns,1096395 n
2625ns,1096396 n
3833ns,1096397 n
2708ns,1096398 n
2542ns,1096399 n
2625ns,1096400 n
2625ns,1096401 n
2500ns,1096402 n
2417ns,1096403 n
2792ns,1096404 n
2500ns,1096405 n
4750ns,1096406 n
2583ns,1096407 n
2584ns,1096408 n
4250ns,1096409 n
3375ns,1096410 n
5792ns,1096411 n
2583ns,1096412 n
2584ns,1096413 n
3083ns,1096414 n
2750ns,1096415 n
2875ns,1096416 n
2875ns,1096417 n
5417ns,1096418 n
2666ns,1096419 n
2750ns,1096420 n
2834ns,1096421 n
3125ns,1096422 n
2584ns,1096423 n
2792ns,1096424 n
2750ns,1096425 n
2583ns,1096426 n
2417ns,1096427 n
2667ns,1096428 n
4292ns,1096429 n
4916ns,1096430 n
2917ns,1096431 n
2416ns,1096432 n
2834ns,1096433 n
3333ns,1096434 n
4708ns,1096435 n
2667ns,1096436 n
2833ns,1096437 n
2709ns,1096438 n
4125ns,1096439 n
2708ns,1096440 n
3958ns,1096441 n
2584ns,1096442 n
2875ns,1096443 n
4375ns,1096444 n
2833ns,1096445 n
2750ns,1096446 n
4208ns,1096447 n
2250ns,1096448 n
2625ns,1096449 n
2542ns,1096450 n
2417ns,1096451 n
2958ns,1096452 n
4500ns,1096453 n
2500ns,1096454 n
4166ns,1096455 n
3500ns,1096456 n
3500ns,1096457 n
3042ns,1096458 n
2375ns,1096459 n
4084ns,1096460 n
2500ns,1096461 n
4750ns,1096462 n
4125ns,1096463 n
3542ns,1096464 n
2417ns,1096465 n
2542ns,1096466 n
2541ns,1096467 n
2417ns,1096468 n
2583ns,1096469 n
3666ns,1096470 n
2333ns,1096471 n
2584ns,1096472 n
2541ns,1096473 n
3250ns,1096474 n
3625ns,1096475 n
2542ns,1096476 n
2417ns,1096477 n
2583ns,1096478 n
2500ns,1096479 n
2625ns,1096480 n
2417ns,1096481 n
2834ns,1096482 n
2500ns,1096483 n
2416ns,1096484 n
2708ns,1096485 n
2583ns,1096486 n
2416ns,1096487 n
3416ns,1096488 n
2417ns,1096489 n
3083ns,1096490 n
4791ns,1096491 n
2542ns,1096492 n
2458ns,1096493 n
2791ns,1096494 n
2583ns,1096495 n
2459ns,1096496 n
3083ns,1096497 n
3917ns,1096498 n
2458ns,1096499 n
2792ns,1096500 n
2416ns,1096501 n
2834ns,1096502 n
7875ns,1096503 n
4167ns,1096504 n
2667ns,1096505 n
2667ns,1096506 n
2458ns,1096507 n
2584ns,1096508 n
3166ns,1096509 n
3667ns,1096510 n
2375ns,1096511 n
2500ns,1096512 n
4250ns,1096513 n
5459ns,1096514 n
3291ns,1096515 n
6209ns,1096516 n
3583ns,1096517 n
4083ns,1096518 n
2875ns,1096519 n
3209ns,1096520 n
2542ns,1096521 n
3709ns,1096522 n
8167ns,1096523 n
2833ns,1096524 n
2500ns,1096525 n
2583ns,1096526 n
2833ns,1096527 n
3000ns,1096528 n
4875ns,1096529 n
2875ns,1096530 n
3792ns,1096531 n
2708ns,1096532 n
3625ns,1096533 n
2834ns,1096534 n
2792ns,1096535 n
3750ns,1096536 n
2541ns,1096537 n
3417ns,1096538 n
2458ns,1096539 n
4542ns,1096540 n
2500ns,1096541 n
2792ns,1096542 n
2875ns,1096543 n
2459ns,1096544 n
2875ns,1096545 n
2708ns,1096546 n
2167ns,1096547 n
2667ns,1096548 n
2459ns,1096549 n
2625ns,1096550 n
3375ns,1096551 n
3292ns,1096552 n
2375ns,1096553 n
4709ns,1096554 n
2791ns,1096555 n
2625ns,1096556 n
2916ns,1096557 n
5250ns,1096558 n
2500ns,1096559 n
2875ns,1096560 n
2584ns,1096561 n
4500ns,1096562 n
2625ns,1096563 n
2708ns,1096564 n
2667ns,1096565 n
2750ns,1096566 n
3500ns,1096567 n
2458ns,1096568 n
3167ns,1096569 n
3291ns,1096570 n
2625ns,1096571 n
2667ns,1096572 n
4500ns,1096573 n
3917ns,1096574 n
2458ns,1096575 n
2167ns,1096576 n
2417ns,1096577 n
4000ns,1096578 n
2333ns,1096579 n
2792ns,1096580 n
2625ns,1096581 n
2625ns,1096582 n
2542ns,1096583 n
2584ns,1096584 n
2667ns,1096585 n
4417ns,1096586 n
2833ns,1096587 n
2458ns,1096588 n
4208ns,1096589 n
2833ns,1096590 n
4750ns,1096591 n
2667ns,1096592 n
2625ns,1096593 n
2792ns,1096594 n
2625ns,1096595 n
4167ns,1096596 n
3375ns,1096597 n
4459ns,1096598 n
4333ns,1096599 n
2458ns,1096600 n
3125ns,1096601 n
2541ns,1096602 n
3875ns,1096603 n
3292ns,1096604 n
2792ns,1096605 n
2542ns,1096606 n
5167ns,1096607 n
2625ns,1096608 n
2458ns,1096609 n
2416ns,1096610 n
2500ns,1096611 n
2792ns,1096612 n
2834ns,1096613 n
2833ns,1096614 n
2708ns,1096615 n
2500ns,1096616 n
2916ns,1096617 n
2417ns,1096618 n
2833ns,1096619 n
2709ns,1096620 n
2375ns,1096621 n
6916ns,1096622 n
2834ns,1096623 n
2500ns,1096624 n
2542ns,1096625 n
4958ns,1096626 n
2917ns,1096627 n
4292ns,1096628 n
3833ns,1096629 n
2667ns,1096630 n
2500ns,1096631 n
2708ns,1096632 n
4417ns,1096633 n
2500ns,1096634 n
2958ns,1096635 n
2792ns,1096636 n
3917ns,1096637 n
2583ns,1096638 n
2458ns,1096639 n
2625ns,1096640 n
3250ns,1096641 n
2416ns,1096642 n
3500ns,1096643 n
2791ns,1096644 n
3209ns,1096645 n
2666ns,1096646 n
3625ns,1096647 n
2541ns,1096648 n
4334ns,1096649 n
2667ns,1096650 n
3875ns,1096651 n
2542ns,1096652 n
2833ns,1096653 n
2500ns,1096654 n
2500ns,1096655 n
2917ns,1096656 n
3666ns,1096657 n
3792ns,1096658 n
3041ns,1096659 n
2709ns,1096660 n
3041ns,1096661 n
2916ns,1096662 n
3042ns,1096663 n
3458ns,1096664 n
3708ns,1096665 n
3583ns,1096666 n
2542ns,1096667 n
4250ns,1096668 n
2791ns,1096669 n
3125ns,1096670 n
2834ns,1096671 n
3250ns,1096672 n
2500ns,1096673 n
2792ns,1096674 n
2875ns,1096675 n
3458ns,1096676 n
2875ns,1096677 n
3416ns,1096678 n
4292ns,1096679 n
2500ns,1096680 n
7167ns,1096681 n
5458ns,1096682 n
2709ns,1096683 n
2791ns,1096684 n
3292ns,1096685 n
3375ns,1096686 n
2458ns,1096687 n
2500ns,1096688 n
3458ns,1096689 n
2834ns,1096690 n
2541ns,1096691 n
3666ns,1096692 n
2750ns,1096693 n
2584ns,1096694 n
2750ns,1096695 n
2542ns,1096696 n
2750ns,1096697 n
4958ns,1096698 n
4458ns,1096699 n
2583ns,1096700 n
2750ns,1096701 n
2875ns,1096702 n
2625ns,1096703 n
2000ns,1096704 n
4834ns,1096705 n
2500ns,1096706 n
2833ns,1096707 n
2583ns,1096708 n
3042ns,1096709 n
4083ns,1096710 n
2583ns,1096711 n
2458ns,1096712 n
3250ns,1096713 n
3708ns,1096714 n
3334ns,1096715 n
2666ns,1096716 n
2917ns,1096717 n
1667ns,1096718 n
4208ns,1096719 n
2417ns,1096720 n
2583ns,1096721 n
3084ns,1096722 n
4167ns,1096723 n
5667ns,1096724 n
2833ns,1096725 n
2583ns,1096726 n
2458ns,1096727 n
2500ns,1096728 n
3875ns,1096729 n
2750ns,1096730 n
4375ns,1096731 n
2875ns,1096732 n
3042ns,1096733 n
2792ns,1096734 n
4375ns,1096735 n
2416ns,1096736 n
3417ns,1096737 n
2750ns,1096738 n
2667ns,1096739 n
2834ns,1096740 n
2459ns,1096741 n
2625ns,1096742 n
4667ns,1096743 n
2250ns,1096744 n
3625ns,1096745 n
2542ns,1096746 n
4375ns,1096747 n
2416ns,1096748 n
3042ns,1096749 n
2958ns,1096750 n
2583ns,1096751 n
2500ns,1096752 n
2667ns,1096753 n
2708ns,1096754 n
2000ns,1096755 n
2875ns,1096756 n
3208ns,1096757 n
2750ns,1096758 n
4584ns,1096759 n
2625ns,1096760 n
2583ns,1096761 n
3667ns,1096762 n
2458ns,1096763 n
2583ns,1096764 n
2458ns,1096765 n
3084ns,1096766 n
2500ns,1096767 n
2333ns,1096768 n
7916ns,1096769 n
2875ns,1096770 n
5000ns,1096771 n
2542ns,1096772 n
2750ns,1096773 n
2500ns,1096774 n
2875ns,1096775 n
2709ns,1096776 n
2833ns,1096777 n
2583ns,1096778 n
3458ns,1096779 n
2959ns,1096780 n
2792ns,1096781 n
3292ns,1096782 n
4625ns,1096783 n
2667ns,1096784 n
3042ns,1096785 n
2458ns,1096786 n
2417ns,1096787 n
2875ns,1096788 n
3750ns,1096789 n
3542ns,1096790 n
2667ns,1096791 n
4375ns,1096792 n
2542ns,1096793 n
3375ns,1096794 n
2625ns,1096795 n
2625ns,1096796 n
2833ns,1096797 n
2583ns,1096798 n
2750ns,1096799 n
2667ns,1096800 n
4125ns,1096801 n
3250ns,1096802 n
2667ns,1096803 n
2416ns,1096804 n
2416ns,1096805 n
2875ns,1096806 n
2542ns,1096807 n
3625ns,1096808 n
3041ns,1096809 n
2167ns,1096810 n
2875ns,1096811 n
2667ns,1096812 n
2584ns,1096813 n
2583ns,1096814 n
2750ns,1096815 n
2500ns,1096816 n
2458ns,1096817 n
2833ns,1096818 n
5417ns,1096819 n
5417ns,1096820 n
3958ns,1096821 n
3875ns,1096822 n
2458ns,1096823 n
2708ns,1096824 n
3542ns,1096825 n
4083ns,1096826 n
6625ns,1096827 n
3250ns,1096828 n
2542ns,1096829 n
2833ns,1096830 n
2583ns,1096831 n
2750ns,1096832 n
2709ns,1096833 n
2375ns,1096834 n
3875ns,1096835 n
3292ns,1096836 n
2709ns,1096837 n
2750ns,1096838 n
3500ns,1096839 n
2875ns,1096840 n
3458ns,1096841 n
3167ns,1096842 n
3125ns,1096843 n
4042ns,1096844 n
3833ns,1096845 n
2708ns,1096846 n
3750ns,1096847 n
3042ns,1096848 n
5125ns,1096849 n
3125ns,1096850 n
2958ns,1096851 n
2583ns,1096852 n
2459ns,1096853 n
3083ns,1096854 n
2625ns,1096855 n
4000ns,1096856 n
3209ns,1096857 n
2791ns,1096858 n
2625ns,1096859 n
3584ns,1096860 n
2459ns,1096861 n
2875ns,1096862 n
3875ns,1096863 n
2875ns,1096864 n
1708ns,1096865 n
2667ns,1096866 n
3958ns,1096867 n
3750ns,1096868 n
4791ns,1096869 n
2209ns,1096870 n
2583ns,1096871 n
2792ns,1096872 n
2958ns,1096873 n
2625ns,1096874 n
2458ns,1096875 n
4667ns,1096876 n
6166ns,1096877 n
2792ns,1096878 n
4750ns,1096879 n
2542ns,1096880 n
2875ns,1096881 n
2500ns,1096882 n
2625ns,1096883 n
2750ns,1096884 n
2542ns,1096885 n
4250ns,1096886 n
3917ns,1096887 n
3041ns,1096888 n
2834ns,1096889 n
2875ns,1096890 n
3833ns,1096891 n
3333ns,1096892 n
3833ns,1096893 n
7000ns,1096894 n
5792ns,1096895 n
4042ns,1096896 n
7042ns,1096897 n
5125ns,1096898 n
5375ns,1096899 n
3041ns,1096900 n
2708ns,1096901 n
2542ns,1096902 n
7958ns,1096903 n
3500ns,1096904 n
3125ns,1096905 n
2792ns,1096906 n
5083ns,1096907 n
2875ns,1096908 n
3125ns,1096909 n
3416ns,1096910 n
3708ns,1096911 n
3917ns,1096912 n
4541ns,1096913 n
3084ns,1096914 n
3542ns,1096915 n
2958ns,1096916 n
2917ns,1096917 n
2875ns,1096918 n
2667ns,1096919 n
3333ns,1096920 n
3250ns,1096921 n
2666ns,1096922 n
2667ns,1096923 n
4375ns,1096924 n
2416ns,1096925 n
2958ns,1096926 n
2792ns,1096927 n
3625ns,1096928 n
3166ns,1096929 n
3875ns,1096930 n
2417ns,1096931 n
2458ns,1096932 n
4417ns,1096933 n
4500ns,1096934 n
2791ns,1096935 n
2416ns,1096936 n
5791ns,1096937 n
4542ns,1096938 n
3291ns,1096939 n
2417ns,1096940 n
4125ns,1096941 n
2625ns,1096942 n
4667ns,1096943 n
2500ns,1096944 n
2917ns,1096945 n
3166ns,1096946 n
2625ns,1096947 n
2417ns,1096948 n
2708ns,1096949 n
4500ns,1096950 n
2625ns,1096951 n
2458ns,1096952 n
2708ns,1096953 n
2750ns,1096954 n
3458ns,1096955 n
2834ns,1096956 n
2500ns,1096957 n
4666ns,1096958 n
3667ns,1096959 n
2166ns,1096960 n
3584ns,1096961 n
2750ns,1096962 n
2833ns,1096963 n
3750ns,1096964 n
2625ns,1096965 n
2416ns,1096966 n
2583ns,1096967 n
2708ns,1096968 n
2333ns,1096969 n
2916ns,1096970 n
3958ns,1096971 n
2584ns,1096972 n
4958ns,1096973 n
2917ns,1096974 n
2583ns,1096975 n
2417ns,1096976 n
2750ns,1096977 n
2500ns,1096978 n
2541ns,1096979 n
3375ns,1096980 n
2417ns,1096981 n
3750ns,1096982 n
2542ns,1096983 n
2625ns,1096984 n
2667ns,1096985 n
3042ns,1096986 n
3667ns,1096987 n
4000ns,1096988 n
5958ns,1096989 n
3834ns,1096990 n
4125ns,1096991 n
2500ns,1096992 n
4333ns,1096993 n
4125ns,1096994 n
2709ns,1096995 n
3042ns,1096996 n
2791ns,1096997 n
2875ns,1096998 n
2584ns,1096999 n
2667ns,1097000 n
2833ns,1097001 n
2375ns,1097002 n
2416ns,1097003 n
3500ns,1097004 n
2625ns,1097005 n
2666ns,1097006 n
2542ns,1097007 n
2500ns,1097008 n
2333ns,1097009 n
3125ns,1097010 n
3083ns,1097011 n
2875ns,1097012 n
3042ns,1097013 n
3917ns,1097014 n
4791ns,1097015 n
3375ns,1097016 n
2459ns,1097017 n
2500ns,1097018 n
2625ns,1097019 n
2625ns,1097020 n
3583ns,1097021 n
3084ns,1097022 n
4375ns,1097023 n
3375ns,1097024 n
2625ns,1097025 n
5875ns,1097026 n
3333ns,1097027 n
3209ns,1097028 n
2500ns,1097029 n
2708ns,1097030 n
2708ns,1097031 n
3000ns,1097032 n
2541ns,1097033 n
2708ns,1097034 n
2667ns,1097035 n
2667ns,1097036 n
3917ns,1097037 n
2542ns,1097038 n
2458ns,1097039 n
2666ns,1097040 n
2167ns,1097041 n
2416ns,1097042 n
9500ns,1097043 n
2125ns,1097044 n
2416ns,1097045 n
2958ns,1097046 n
3833ns,1097047 n
2334ns,1097048 n
3000ns,1097049 n
4166ns,1097050 n
2750ns,1097051 n
2834ns,1097052 n
5083ns,1097053 n
2542ns,1097054 n
3083ns,1097055 n
2333ns,1097056 n
2959ns,1097057 n
4041ns,1097058 n
3000ns,1097059 n
2667ns,1097060 n
2750ns,1097061 n
4166ns,1097062 n
2542ns,1097063 n
3084ns,1097064 n
3666ns,1097065 n
2583ns,1097066 n
2542ns,1097067 n
2625ns,1097068 n
2417ns,1097069 n
2625ns,1097070 n
4000ns,1097071 n
2458ns,1097072 n
3625ns,1097073 n
3667ns,1097074 n
2625ns,1097075 n
2875ns,1097076 n
3000ns,1097077 n
3042ns,1097078 n
2708ns,1097079 n
2708ns,1097080 n
2417ns,1097081 n
2875ns,1097082 n
2708ns,1097083 n
2583ns,1097084 n
3500ns,1097085 n
2625ns,1097086 n
3375ns,1097087 n
2500ns,1097088 n
2583ns,1097089 n
2667ns,1097090 n
3125ns,1097091 n
3333ns,1097092 n
4167ns,1097093 n
2958ns,1097094 n
2958ns,1097095 n
2458ns,1097096 n
2583ns,1097097 n
2667ns,1097098 n
2625ns,1097099 n
2875ns,1097100 n
2458ns,1097101 n
3125ns,1097102 n
3375ns,1097103 n
4791ns,1097104 n
3584ns,1097105 n
2666ns,1097106 n
2667ns,1097107 n
2416ns,1097108 n
2417ns,1097109 n
2583ns,1097110 n
2542ns,1097111 n
2500ns,1097112 n
2375ns,1097113 n
2458ns,1097114 n
2750ns,1097115 n
5500ns,1097116 n
2459ns,1097117 n
3000ns,1097118 n
3625ns,1097119 n
2375ns,1097120 n
3833ns,1097121 n
3167ns,1097122 n
2584ns,1097123 n
3416ns,1097124 n
3167ns,1097125 n
4042ns,1097126 n
5125ns,1097127 n
2542ns,1097128 n
2375ns,1097129 n
2875ns,1097130 n
2583ns,1097131 n
2542ns,1097132 n
4458ns,1097133 n
2542ns,1097134 n
2708ns,1097135 n
2834ns,1097136 n
6792ns,1097137 n
2625ns,1097138 n
5250ns,1097139 n
3000ns,1097140 n
2375ns,1097141 n
2667ns,1097142 n
2583ns,1097143 n
2458ns,1097144 n
3084ns,1097145 n
3334ns,1097146 n
2416ns,1097147 n
3000ns,1097148 n
5958ns,1097149 n
2750ns,1097150 n
2625ns,1097151 n
2167ns,1097152 n
4708ns,1097153 n
2959ns,1097154 n
3041ns,1097155 n
4500ns,1097156 n
3250ns,1097157 n
2625ns,1097158 n
2792ns,1097159 n
3875ns,1097160 n
2666ns,1097161 n
2792ns,1097162 n
4584ns,1097163 n
2958ns,1097164 n
2500ns,1097165 n
4500ns,1097166 n
5416ns,1097167 n
4042ns,1097168 n
2542ns,1097169 n
2708ns,1097170 n
12042ns,1097171 n
2667ns,1097172 n
2500ns,1097173 n
2625ns,1097174 n
2708ns,1097175 n
2542ns,1097176 n
4292ns,1097177 n
3583ns,1097178 n
2375ns,1097179 n
2708ns,1097180 n
2625ns,1097181 n
2541ns,1097182 n
2750ns,1097183 n
2500ns,1097184 n
2458ns,1097185 n
2875ns,1097186 n
2542ns,1097187 n
3583ns,1097188 n
2458ns,1097189 n
3333ns,1097190 n
4625ns,1097191 n
2958ns,1097192 n
2583ns,1097193 n
3625ns,1097194 n
2625ns,1097195 n
2458ns,1097196 n
4334ns,1097197 n
3291ns,1097198 n
2875ns,1097199 n
2625ns,1097200 n
3500ns,1097201 n
2583ns,1097202 n
2542ns,1097203 n
2500ns,1097204 n
5333ns,1097205 n
3125ns,1097206 n
4625ns,1097207 n
2583ns,1097208 n
2375ns,1097209 n
2667ns,1097210 n
5625ns,1097211 n
2500ns,1097212 n
2833ns,1097213 n
3250ns,1097214 n
2708ns,1097215 n
2333ns,1097216 n
2875ns,1097217 n
6041ns,1097218 n
5459ns,1097219 n
3000ns,1097220 n
2416ns,1097221 n
3333ns,1097222 n
4333ns,1097223 n
2417ns,1097224 n
2458ns,1097225 n
2750ns,1097226 n
5125ns,1097227 n
2959ns,1097228 n
2667ns,1097229 n
3958ns,1097230 n
3000ns,1097231 n
2750ns,1097232 n
2958ns,1097233 n
3917ns,1097234 n
2583ns,1097235 n
4084ns,1097236 n
2583ns,1097237 n
3625ns,1097238 n
2625ns,1097239 n
2625ns,1097240 n
2708ns,1097241 n
4250ns,1097242 n
2500ns,1097243 n
3166ns,1097244 n
2584ns,1097245 n
2625ns,1097246 n
2583ns,1097247 n
2708ns,1097248 n
3667ns,1097249 n
3125ns,1097250 n
6459ns,1097251 n
2708ns,1097252 n
3000ns,1097253 n
5667ns,1097254 n
2500ns,1097255 n
3709ns,1097256 n
2250ns,1097257 n
2459ns,1097258 n
5000ns,1097259 n
4250ns,1097260 n
2542ns,1097261 n
4417ns,1097262 n
3334ns,1097263 n
3292ns,1097264 n
2958ns,1097265 n
3916ns,1097266 n
2584ns,1097267 n
3833ns,1097268 n
2625ns,1097269 n
5833ns,1097270 n
2458ns,1097271 n
2208ns,1097272 n
3750ns,1097273 n
3542ns,1097274 n
2708ns,1097275 n
3208ns,1097276 n
2625ns,1097277 n
2666ns,1097278 n
6375ns,1097279 n
2375ns,1097280 n
3708ns,1097281 n
3542ns,1097282 n
3833ns,1097283 n
2792ns,1097284 n
3416ns,1097285 n
4208ns,1097286 n
4292ns,1097287 n
2417ns,1097288 n
2875ns,1097289 n
4125ns,1097290 n
2709ns,1097291 n
2792ns,1097292 n
2416ns,1097293 n
2500ns,1097294 n
5000ns,1097295 n
2375ns,1097296 n
2416ns,1097297 n
2500ns,1097298 n
2583ns,1097299 n
2583ns,1097300 n
5292ns,1097301 n
3167ns,1097302 n
5042ns,1097303 n
2750ns,1097304 n
3625ns,1097305 n
2625ns,1097306 n
1875ns,1097307 n
4917ns,1097308 n
3833ns,1097309 n
4167ns,1097310 n
6292ns,1097311 n
3000ns,1097312 n
3042ns,1097313 n
2458ns,1097314 n
2792ns,1097315 n
2459ns,1097316 n
3417ns,1097317 n
5500ns,1097318 n
2542ns,1097319 n
2625ns,1097320 n
2500ns,1097321 n
2875ns,1097322 n
2584ns,1097323 n
3500ns,1097324 n
2708ns,1097325 n
4334ns,1097326 n
2834ns,1097327 n
2458ns,1097328 n
4417ns,1097329 n
2791ns,1097330 n
2458ns,1097331 n
2500ns,1097332 n
3125ns,1097333 n
3042ns,1097334 n
2584ns,1097335 n
3333ns,1097336 n
2542ns,1097337 n
2916ns,1097338 n
4667ns,1097339 n
2667ns,1097340 n
3708ns,1097341 n
2667ns,1097342 n
4208ns,1097343 n
2208ns,1097344 n
2667ns,1097345 n
2583ns,1097346 n
5542ns,1097347 n
2583ns,1097348 n
2834ns,1097349 n
2750ns,1097350 n
2583ns,1097351 n
2500ns,1097352 n
2375ns,1097353 n
2417ns,1097354 n
2542ns,1097355 n
3292ns,1097356 n
4167ns,1097357 n
2583ns,1097358 n
2625ns,1097359 n
2375ns,1097360 n
3417ns,1097361 n
4958ns,1097362 n
5209ns,1097363 n
2333ns,1097364 n
4083ns,1097365 n
6792ns,1097366 n
2458ns,1097367 n
4542ns,1097368 n
2833ns,1097369 n
2875ns,1097370 n
2333ns,1097371 n
5708ns,1097372 n
2750ns,1097373 n
2667ns,1097374 n
2542ns,1097375 n
2750ns,1097376 n
2417ns,1097377 n
4792ns,1097378 n
2833ns,1097379 n
2542ns,1097380 n
2542ns,1097381 n
3042ns,1097382 n
2333ns,1097383 n
2459ns,1097384 n
3875ns,1097385 n
2417ns,1097386 n
6666ns,1097387 n
3042ns,1097388 n
3625ns,1097389 n
3375ns,1097390 n
2708ns,1097391 n
3584ns,1097392 n
3417ns,1097393 n
2833ns,1097394 n
2542ns,1097395 n
2458ns,1097396 n
2750ns,1097397 n
2958ns,1097398 n
2875ns,1097399 n
2667ns,1097400 n
2708ns,1097401 n
2917ns,1097402 n
4375ns,1097403 n
2500ns,1097404 n
4916ns,1097405 n
4584ns,1097406 n
5666ns,1097407 n
2375ns,1097408 n
4125ns,1097409 n
2583ns,1097410 n
3666ns,1097411 n
4000ns,1097412 n
2417ns,1097413 n
2625ns,1097414 n
3334ns,1097415 n
2375ns,1097416 n
4000ns,1097417 n
2708ns,1097418 n
2584ns,1097419 n
2625ns,1097420 n
2625ns,1097421 n
2666ns,1097422 n
2500ns,1097423 n
2458ns,1097424 n
2583ns,1097425 n
3916ns,1097426 n
2458ns,1097427 n
2541ns,1097428 n
4750ns,1097429 n
3583ns,1097430 n
3291ns,1097431 n
2625ns,1097432 n
2833ns,1097433 n
2542ns,1097434 n
2833ns,1097435 n
2584ns,1097436 n
2666ns,1097437 n
2583ns,1097438 n
2542ns,1097439 n
2958ns,1097440 n
2458ns,1097441 n
3208ns,1097442 n
2583ns,1097443 n
2458ns,1097444 n
3583ns,1097445 n
3500ns,1097446 n
3125ns,1097447 n
2833ns,1097448 n
7084ns,1097449 n
4166ns,1097450 n
4292ns,1097451 n
2583ns,1097452 n
2792ns,1097453 n
4541ns,1097454 n
2667ns,1097455 n
3042ns,1097456 n
2625ns,1097457 n
5000ns,1097458 n
3667ns,1097459 n
2916ns,1097460 n
2500ns,1097461 n
2958ns,1097462 n
3542ns,1097463 n
2458ns,1097464 n
3375ns,1097465 n
4459ns,1097466 n
2416ns,1097467 n
3708ns,1097468 n
2625ns,1097469 n
2458ns,1097470 n
3958ns,1097471 n
2500ns,1097472 n
2750ns,1097473 n
5083ns,1097474 n
2458ns,1097475 n
2750ns,1097476 n
6167ns,1097477 n
3084ns,1097478 n
3666ns,1097479 n
2500ns,1097480 n
2959ns,1097481 n
3875ns,1097482 n
2500ns,1097483 n
2417ns,1097484 n
5375ns,1097485 n
3084ns,1097486 n
5125ns,1097487 n
3166ns,1097488 n
3250ns,1097489 n
2959ns,1097490 n
2750ns,1097491 n
2834ns,1097492 n
2958ns,1097493 n
2959ns,1097494 n
2667ns,1097495 n
2541ns,1097496 n
3959ns,1097497 n
2625ns,1097498 n
3666ns,1097499 n
2834ns,1097500 n
2542ns,1097501 n
3042ns,1097502 n
2791ns,1097503 n
2500ns,1097504 n
2583ns,1097505 n
2500ns,1097506 n
3667ns,1097507 n
2792ns,1097508 n
3375ns,1097509 n
2708ns,1097510 n
2708ns,1097511 n
3541ns,1097512 n
2459ns,1097513 n
2542ns,1097514 n
2709ns,1097515 n
2708ns,1097516 n
2708ns,1097517 n
5292ns,1097518 n
5666ns,1097519 n
2458ns,1097520 n
4458ns,1097521 n
2542ns,1097522 n
3583ns,1097523 n
3333ns,1097524 n
2958ns,1097525 n
2917ns,1097526 n
4500ns,1097527 n
2541ns,1097528 n
3791ns,1097529 n
2709ns,1097530 n
2875ns,1097531 n
4042ns,1097532 n
2583ns,1097533 n
3458ns,1097534 n
2708ns,1097535 n
2458ns,1097536 n
3125ns,1097537 n
2834ns,1097538 n
2500ns,1097539 n
2458ns,1097540 n
2667ns,1097541 n
2542ns,1097542 n
2500ns,1097543 n
4292ns,1097544 n
4584ns,1097545 n
8083ns,1097546 n
3459ns,1097547 n
3541ns,1097548 n
2417ns,1097549 n
3417ns,1097550 n
2500ns,1097551 n
2375ns,1097552 n
2666ns,1097553 n
3125ns,1097554 n
2541ns,1097555 n
2750ns,1097556 n
2458ns,1097557 n
2708ns,1097558 n
2709ns,1097559 n
2417ns,1097560 n
4083ns,1097561 n
2875ns,1097562 n
3125ns,1097563 n
2625ns,1097564 n
2709ns,1097565 n
2708ns,1097566 n
3000ns,1097567 n
2750ns,1097568 n
4042ns,1097569 n
2750ns,1097570 n
2458ns,1097571 n
2667ns,1097572 n
2750ns,1097573 n
2708ns,1097574 n
4125ns,1097575 n
2375ns,1097576 n
4125ns,1097577 n
4833ns,1097578 n
2542ns,1097579 n
2875ns,1097580 n
6375ns,1097581 n
2667ns,1097582 n
2958ns,1097583 n
6917ns,1097584 n
2625ns,1097585 n
3125ns,1097586 n
3708ns,1097587 n
2667ns,1097588 n
4084ns,1097589 n
2875ns,1097590 n
2875ns,1097591 n
2958ns,1097592 n
2625ns,1097593 n
4291ns,1097594 n
3125ns,1097595 n
4667ns,1097596 n
3958ns,1097597 n
2791ns,1097598 n
2667ns,1097599 n
1834ns,1097600 n
5708ns,1097601 n
2375ns,1097602 n
2500ns,1097603 n
2667ns,1097604 n
2166ns,1097605 n
4667ns,1097606 n
2833ns,1097607 n
2500ns,1097608 n
8250ns,1097609 n
3166ns,1097610 n
3959ns,1097611 n
2750ns,1097612 n
3291ns,1097613 n
2791ns,1097614 n
2500ns,1097615 n
2792ns,1097616 n
